"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"57",148.241017738081,2.34432042430223,0.217897081254876,10.7588427105183,5.38420630934809e-27,3.44589203798278e-25
"33",155.449895836758,2.41645355135606,0.236884916771335,10.2009599610289,1.96322342810267e-24,6.28231496992853e-23
"48",116.555305462671,2.28969347707639,0.233212349253373,9.81806274156072,9.41351221656693e-23,2.00821593953428e-21
"12",188.914961932762,3.79242487340982,0.400244392670625,9.47527296536231,2.66064150138228e-21,4.25702640221165e-20
"35",133.193971245411,-1.90066054540794,0.201447607685982,-9.43501174941083,3.90950430881821e-21,5.00416551528731e-20
"5",159.581526128217,-1.55556618525261,0.175051208994577,-8.88634928137397,6.31496202957548e-19,6.73595949821384e-18
"4",143.581480119107,2.20995862013705,0.274354924978081,8.05510825188799,7.9408498980943e-16,7.26020562111479e-15
"46",95.8441447239754,1.16618527757659,0.14626015974625,7.97336253153167,1.54414354638811e-15,1.23531483711049e-14
"39",149.278365689953,2.45985216117492,0.31800797667641,7.73519012599471,1.03248687652154e-14,7.34212889970871e-14
"26",117.562745575718,2.75103465198329,0.369520649100688,7.44487394325204,9.70370309892958e-14,6.21036998331493e-13
"51",81.8613880889822,-1.69006156885965,0.243594493537072,-6.93801220347556,3.97655374969915e-12,2.31363127255223e-11
"28",122.696214906362,-1.33029615556461,0.204083573747089,-6.51838916351582,7.10664196192981e-11,3.79020904636256e-10
"61",120.010811170753,-1.63143747324776,0.25524488307116,-6.39165594082812,1.64098810124519e-10,8.07871065228402e-10
"23",152.316268961237,-1.51773061917069,0.249690019248318,-6.07845929821208,1.21342773153786e-09,5.54709820131595e-09
"34",121.014788834937,-0.867903647115244,0.143715275139779,-6.0390494070384,1.550247763526e-09,6.61439045771095e-09
"60",156.77946491014,-1.14280102548636,0.196443201300845,-5.8174628488985,5.97475354184669e-09,2.38990141673868e-08
"16",115.550019949362,-0.882042390552068,0.167811050246981,-5.25616393708218,1.47091183791757e-07,5.53755044863085e-07
"6",149.078628353417,-0.967517115844203,0.187981800541964,-5.14686588305243,2.64874558606609e-07,9.41776208379053e-07
"32",114.068736397572,1.14931083541642,0.233897062072194,4.91374635163942,8.93523345460458e-07,3.00976284786681e-06
"56",81.6384549352665,0.991297931158946,0.206708436346671,4.79563364069205,1.62161415665823e-06,5.18916530130634e-06
"0",103.506583935045,0.83816250535671,0.177632169668592,4.71852878293649,2.37556361783441e-06,6.9107305246092e-06
"63",132.374836133241,1.32251861067313,0.28010367693205,4.72153248810782,2.34074232063351e-06,6.9107305246092e-06
"1",107.705878450199,1.04319558612675,0.23122554684915,4.51159311910861,6.43425246379593e-06,1.790400685578e-05
"54",92.5970525631691,-1.32816012381,0.295128866736309,-4.50027182531312,6.78666199114042e-06,1.80977653097078e-05
"58",30.7978749667693,-1.26973107137502,0.302677564452613,-4.19499566699403,2.72876804278939e-05,6.98564618954084e-05
"15",69.6018554884217,0.819316325770029,0.198459435207082,4.12838182732463,3.65325109598008e-05,8.99261808241249e-05
"2",145.17877660887,0.85300021065047,0.213546802979219,3.99444149362178,6.48469312758665e-05,0.000153711244505758
"29",114.303959653095,0.932424821680979,0.236949848620976,3.93511465446211,8.31569882955733e-05,0.000190073116104168
"52",87.5591890163296,-1.09117044780152,0.300958671320891,-3.62564880756695,0.000288236857551823,0.00063610892701092
"20",121.365820093757,0.806662933082175,0.230723212138283,3.49623657544567,0.000471870144376513,0.00100665630800323
"44",172.373205905126,0.623731718688918,0.186866567214929,3.33784543690749,0.000844307009781315,0.00174308543954852
"62",104.864144376932,-0.882814054303146,0.272894599425946,-3.23500009219754,0.00121642691492607,0.00243285382985213
"25",93.5702855152168,-0.737479904961463,0.231841980341028,-3.18095930632005,0.00146788247029138,0.0028468023666257
"50",188.28881815746,-0.89621858771409,0.282523854031484,-3.17218732126674,0.00151295383832052,0.00284791310742687
"40",182.702481982677,0.912697589539399,0.293618852788499,3.10844341523546,0.00188075656796503,0.00343909772427892
"31",103.511109253174,-0.611805669240542,0.202101076324589,-3.02722617992363,0.00246809208517946,0.00438771926254125
"53",92.989465223743,-0.632658329891572,0.213723687907023,-2.96016944161472,0.00307469883791485,0.00531839798990676
"3",110.148739226492,0.629871128982619,0.224756763517993,2.80245683877805,0.00507150019548074,0.00854147401344125
"42",125.251445962115,1.00570952625071,0.369752671973828,2.71995201787723,0.00652913897142668,0.010714484465931
"11",89.9616019581058,-0.542427255508851,0.20499431560023,-2.64605998425179,0.00814353744986356,0.0130296599197817
"17",119.358414420837,-0.457495006793178,0.17896594070218,-2.55632443244887,0.0105784438257733,0.0164324519647044
"49",129.845505438244,-0.565719056659131,0.22188299312712,-2.54962784071973,0.0107837966018373,0.0164324519647044
"18",126.286436715467,0.650835529530906,0.267668805874909,2.43149562162677,0.0150366300568237,0.0223801005496911
"9",100.705614577743,0.553464516278344,0.23602201288344,2.34496990139506,0.0190286156430649,0.0276779863899125
"43",140.170369896831,-0.375568718096722,0.166280643836913,-2.25864363662843,0.0239055611192326,0.0339990202584642
"21",130.779683269558,-0.371828333571427,0.168323557586865,-2.20900947497822,0.027173981875845,0.0378072791316105
"55",132.815693455397,0.402014414245737,0.201138974648491,1.99868978624503,0.0456419288000348,0.0621507115574942
"7",87.3321651227152,-0.495373739972856,0.260610993574044,-1.90081674291346,0.0573260202609711,0.0764346936812948
"8",121.970971764521,-0.367820785695899,0.205356118877706,-1.79113623546297,0.0732714356040285,0.0937874375731565
"59",10.4149849698333,0.725113524922282,0.402774796087483,1.80029518223575,0.0718140412382872,0.0937874375731565
