"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"44",172.373205905126,0.498318473585883,0.089914506601152,5.54213655196211,2.98803140969616e-08,1.88245978810858e-06
"40",182.702481982677,0.75814222412639,0.141987161031307,5.33951252084844,9.31968335395858e-08,2.93570025649695e-06
"50",188.28881815746,0.714992384347507,0.136830951388436,5.22537026230114,1.73806953402305e-07,3.64994602144841e-06
"53",92.989465223743,-0.503579294748139,0.102221401898084,-4.92635872133915,8.37761347996521e-07,1.31947412309452e-05
"62",104.864144376932,-0.613829658060014,0.13317607090858,-4.60915879160741,4.04301463070022e-06,5.09419843468228e-05
"29",114.303959653095,0.523381904164873,0.118190447660622,4.42829276413045,9.4981919245889e-06,9.97310152081835e-05
"9",117.554352347782,0.533379416201907,0.125136241268059,4.26238962267803,2.02252405382986e-05,0.0001679943922982
"48",116.555305462671,0.583847226788237,0.137360756678531,4.25046600576486,2.13326212442159e-05,0.0001679943922982
"27",163.844243634607,0.56040894026754,0.13406860628357,4.18001615592404,2.9148838612024e-05,0.000204041870284168
"19",131.571897893581,0.301625558080132,0.0779261811749661,3.87065750601712,0.00010854219994245,0.000683815859637438
"13",76.3889229350342,-0.427771344616176,0.113036608947359,-3.78436108973676,0.000154103949563283,0.000882595347498801
"6",149.078628353417,-0.356087689522951,0.0971584101692548,-3.66502178146625,0.000247317533606359,0.00123194380237114
"11",89.9616019581058,-0.368798796875257,0.100960486016425,-3.65290235246351,0.000259292854061458,0.00123194380237114
"25",93.5702855152168,-0.419319039991342,0.115231175846321,-3.63893743955689,0.000273765289415809,0.00123194380237114
"2",145.17877660887,0.389964413308093,0.108113667495413,3.60698533628636,0.000309775159403967,0.00130105566949666
"37",59.1741495185011,-0.448194293639588,0.125043481080559,-3.58430755259317,0.00033797365406101,0.00133077126286523
"33",155.449895836758,0.501883415195625,0.14116245134213,3.55536058225024,0.000377461060756768,0.00139882628398096
"16",115.550019949362,-0.302986287802632,0.0872182085445636,-3.47388799722735,0.000512975112549326,0.00179541289392264
"28",122.696214906362,-0.365035498406686,0.109381330097044,-3.33727426867842,0.000846044149095229,0.00280530428384207
"14",20.6397717977918,-0.807656058566534,0.243832432415963,-3.31234057161323,0.000925188415416568,0.00291434350856219
"41",88.5210788536109,-0.306055115515202,0.0928401571711515,-3.29658118685632,0.000978693236644474,0.00293607970993342
"34",121.014788834937,-0.235735679538648,0.0773869323092786,-3.04619491307041,0.00231757543519766,0.0066366932917024
"31",103.511109253174,-0.300843266131262,0.101386085270068,-2.96730330725254,0.00300424434324169,0.00822901711409681
"56",81.6384549352665,0.31791364966276,0.107625710483239,2.95388200677449,0.00313803961358067,0.00823735398564926
"12",188.914961932762,0.669256899678521,0.230051615876131,2.9091597428243,0.00362401634994565,0.00913252120186304
"38",119.987724787385,0.386635181858437,0.135255027996966,2.85856420707044,0.00425562976033958,0.0103117182654382
"4",143.581480119107,0.435918664167184,0.154086895951362,2.82904436146721,0.00466872269807838,0.0108936862955162
"30",147.656090619383,-0.267908829488109,0.0951146594901118,-2.81669335646375,0.00485208268422996,0.0109171860395174
"58",30.7978749667693,-0.425998339667701,0.15436255436454,-2.75972590257654,0.0057849875679442,0.012567386785534
"10",93.3998655028674,-0.322025483042865,0.125269624186733,-2.57065896967041,0.0101505228290957,0.021316097941101
"22",31.5081672892696,-0.385034046222192,0.161389344656897,-2.38574638890038,0.0170445006143359,0.0346388238291343
"3",110.148739226492,-0.252224930139467,0.113445677034025,-2.22331019333437,0.0261948906499031,0.0515711909669968
"60",156.77946491014,0.228430203762364,0.105817676944416,2.15871497426988,0.0308722863395848,0.0589380011937528
"8",121.970971764521,0.19849406317011,0.102965442082044,1.9277736214831,0.0538832901407264,0.0998425670254636
