"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"28",122.696214906362,-1.87754753992252,0.302180441042046,-6.21333244947272,5.18725395824819e-10,1.97544307803178e-08
"35",133.193971245411,-1.93636856438645,0.313153029760381,-6.18345786361423,6.27124786676754e-10,1.97544307803178e-08
"33",155.449895836758,1.97709839676278,0.368779351199325,5.36119603858774,8.2672739366546e-08,1.73612752669747e-06
"5",159.581526128217,-1.41963851315189,0.26947295089046,-5.26820413128949,1.37764863123491e-07,2.16979659419499e-06
"57",148.241017738081,1.69382196136628,0.338032142067919,5.01083107364966,5.41954731396152e-07,6.82862961559152e-06
"39",149.278365689953,2.20976688329504,0.484439746417231,4.56148963754069,5.07919832968916e-06,5.33315824617362e-05
"51",81.8613880889822,-1.6664137538484,0.377443690173701,-4.4149996336712,1.01010161344283e-05,9.09091452098546e-05
"26",117.562745575718,2.39302032077285,0.557068865029499,4.29573517925137,1.74115337448409e-05,0.000136986123848756
"48",116.555305462671,1.50313350252176,0.352042722374297,4.26974741129176,1.9569446264108e-05,0.000136986123848756
"16",115.550019949362,-0.968375322200416,0.251971806788798,-3.84318918271719,0.000121445778973814,0.00076510840753503
"54",107.503572560941,-1.68230012273975,0.472640456067331,-3.55936547780434,0.000371751892476623,0.00212912447509339
"63",132.374836133241,1.47780941041055,0.424776477535673,3.47902835624047,0.000503235334517698,0.00264198550621791
"61",120.010811170753,-1.3220921488741,0.386565239788875,-3.42010096302547,0.000625978983742054,0.00303359045967303
"1",107.705878450199,1.14985676604681,0.343342510625918,3.34900785792767,0.0008110149552432,0.00340626281202144
"47",118.914963915183,-1.39357215259142,0.415884977571176,-3.35085955912635,0.000805611480355344,0.00340626281202144
"12",188.914961932762,1.90564322549856,0.599513344214038,3.17865022336885,0.00147962523444412,0.00582602436062374
"60",156.77946491014,-0.913808001837781,0.301848509412378,-3.02737291503189,0.0024668941895728,0.00914201964371096
"0",103.506583935045,0.816514910926074,0.271432412640355,3.00817025860485,0.0026282584711922,0.00919890464917269
"32",114.068736397572,0.995964877389109,0.35420786859752,2.81180901297483,0.00492637450210872,0.0163348207175184
"45",53.2341956830201,-5.11129241862101,1.87025146139183,-2.73294395119318,0.0062771013125023,0.0197728691343823
"53",92.989465223743,-0.844989044856701,0.321795780605664,-2.62585495455011,0.00864316393086545,0.0259294917925963
"34",121.014788834937,-0.567989987595135,0.218594196212037,-2.59837634044128,0.00936657749659451,0.0268224719220661
"17",119.358414420837,-0.680031722940959,0.270504279508629,-2.51394071907564,0.0119390500514626,0.032702615358354
"6",149.078628353417,-0.676057369724998,0.273723953861733,-2.46985095819015,0.0135169355528987,0.0345526397047787
"23",152.316268961237,-0.935780039505053,0.379667217408953,-2.4647375295958,0.0137113649622138,0.0345526397047787
"30",147.656090619383,-0.711349414824268,0.291384838766702,-2.44127119940448,0.014635659207297,0.0354633280792196
"46",95.8441447239754,0.559672477902371,0.236055539940714,2.37093557746171,0.017743123426885,0.0399220277104912
"56",81.6384549352665,0.74689845388359,0.313524169944054,2.38226754261679,0.0172063914724403,0.0399220277104912
"4",143.581480119107,0.955883994572657,0.41400968430931,2.30884452900505,0.0209522100545574,0.0455168701185212
"55",132.815693455397,0.685162140373606,0.30258936639668,2.2643298689994,0.0235538338112134,0.0494630510035482
"3",110.148739226492,0.744137229443099,0.341940694802684,2.17621722349398,0.0295390216344961,0.0600309149346212
"50",188.28881815746,-0.902297908037619,0.426149727444269,-2.1173260239985,0.0342321877181149,0.0673946195700387
"24",136.759763481491,-0.550903556841521,0.264669850073893,-2.08147454909471,0.0373904912981585,0.0710444137016707
"25",93.5702855152168,-0.727940076456212,0.351460526665567,-2.07118586932775,0.0383414296167747,0.0710444137016707
"36",127.936980813958,-1.38347216930951,0.705100842664056,-1.96209121532516,0.0497518655163458,0.0895533579294224
