"","x"
"1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"2","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"3","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"4","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"5","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"6","REACTOME_CRISTAE_FORMATION"
"7","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"8","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"9","REACTOME_EPH_EPHRIN_SIGNALING"
"10","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"11","REACTOME_HEMOSTASIS"
"12","REACTOME_HIV_INFECTION"
"13","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"14","REACTOME_INFECTIOUS_DISEASE"
"15","REACTOME_INNATE_IMMUNE_SYSTEM"
"16","REACTOME_INTERLEUKIN_1_SIGNALING"
"17","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"18","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"19","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"20","REACTOME_MEMBRANE_TRAFFICKING"
"21","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"22","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"23","REACTOME_METABOLISM_OF_LIPIDS"
"24","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"25","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"26","REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE"
"27","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"28","REACTOME_NEUTROPHIL_DEGRANULATION"
"29","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"30","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"31","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"32","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"33","REACTOME_PROGRAMMED_CELL_DEATH"
"34","REACTOME_PROTEIN_LOCALIZATION"
"35","REACTOME_RHOQ_GTPASE_CYCLE"
"36","REACTOME_SIGNALING_BY_GPCR"
"37","REACTOME_SIGNALING_BY_INTERLEUKINS"
"38","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"39","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"40","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"41","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"42","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"43","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"44","REACTOME_TRANSLATION"
"45","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"46","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
