"","x"
"1","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"2","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"3","REACTOME_EPH_EPHRIN_SIGNALING"
"4","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"5","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"6","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"7","REACTOME_L1CAM_INTERACTIONS"
"8","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"9","REACTOME_METABOLISM_OF_LIPIDS"
"10","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"11","REACTOME_NEURONAL_SYSTEM"
"12","REACTOME_NEUTROPHIL_DEGRANULATION"
"13","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"
"14","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"15","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"
"16","REACTOME_RHOQ_GTPASE_CYCLE"
"17","REACTOME_SIGNALING_BY_GPCR"
"18","REACTOME_SIGNALING_BY_MET"
"19","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"20","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"21","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"22","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"23","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_MECP2"
"24","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
