"","x"
"1","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"2","REACTOME_BIOLOGICAL_OXIDATIONS"
"3","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"4","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CRISTAE_FORMATION"
"8","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"9","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"10","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"11","REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR"
"12","REACTOME_EPH_EPHRIN_SIGNALING"
"13","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"14","REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS"
"15","REACTOME_HEMOSTASIS"
"16","REACTOME_HIV_INFECTION"
"17","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"18","REACTOME_INFECTIOUS_DISEASE"
"19","REACTOME_INNATE_IMMUNE_SYSTEM"
"20","REACTOME_INTERLEUKIN_1_SIGNALING"
"21","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"22","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"23","REACTOME_MEMBRANE_TRAFFICKING"
"24","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"25","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"26","REACTOME_METABOLISM_OF_LIPIDS"
"27","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"28","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"29","REACTOME_NEUTROPHIL_DEGRANULATION"
"30","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"31","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"32","REACTOME_PROGRAMMED_CELL_DEATH"
"33","REACTOME_PROTEIN_LOCALIZATION"
"34","REACTOME_RAC3_GTPASE_CYCLE"
"35","REACTOME_SIGNALING_BY_GPCR"
"36","REACTOME_SIGNALING_BY_INTERLEUKINS"
"37","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"38","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"39","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"40","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"41","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"42","REACTOME_TRANSLATION"
"43","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"44","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
