"","x"
"1","REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE"
"2","REACTOME_BIOLOGICAL_OXIDATIONS"
"3","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"4","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"5","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"6","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"7","REACTOME_CRISTAE_FORMATION"
"8","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"9","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"10","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"11","REACTOME_EPH_EPHRIN_SIGNALING"
"12","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"13","REACTOME_HIV_INFECTION"
"14","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"15","REACTOME_INNATE_IMMUNE_SYSTEM"
"16","REACTOME_INTERLEUKIN_10_SIGNALING"
"17","REACTOME_INTERLEUKIN_1_SIGNALING"
"18","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"19","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"20","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"21","REACTOME_MEMBRANE_TRAFFICKING"
"22","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"23","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"24","REACTOME_METABOLISM_OF_LIPIDS"
"25","REACTOME_METABOLISM_OF_STEROIDS"
"26","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"27","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"28","REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE"
"29","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"30","REACTOME_NEUTROPHIL_DEGRANULATION"
"31","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"32","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"33","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"34","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"35","REACTOME_PROGRAMMED_CELL_DEATH"
"36","REACTOME_PROTEIN_LOCALIZATION"
"37","REACTOME_SIGNALING_BY_GPCR"
"38","REACTOME_SIGNALING_BY_INTERLEUKINS"
"39","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"40","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"41","REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT"
"42","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"43","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
"44","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"45","REACTOME_TRANSLATION"
"46","REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES"
"47","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"48","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
