"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.5",183.760625428116,-2.19508806962499,3.29309910787054,-0.666572124834843,0.505045479396543,0.999900305837466
"ENSG00000233750.3",6.00285609474479,5.91163110942888,7.02314239167451,0.841735903921974,0.399935796436028,0.999900305837466
"ENSG00000268903.1",187.095934658782,2.2566022347816,5.23677486532593,0.430914502306211,0.666530538210732,0.999900305837466
"ENSG00000269981.1",117.889161531416,3.49434411980497,5.18613713855839,0.673785522142268,0.500447680632184,0.999900305837466
"ENSG00000239906.1",5.52614404662107,9.47544113852532,9.88729231368186,0.958345403160921,0.337888616133676,0.999900305837466
"ENSG00000241860.6",34.2256669548839,7.78034662495523,5.06274979002762,1.53678276581644,0.124346515152726,0.999900305837466
"ENSG00000279457.4",380.386825950735,0.77302543829673,2.7357887581978,0.282560353382679,0.777513875644694,0.999900305837466
"ENSG00000228463.9",32.5997117226505,9.9205644588618,4.38096381587624,2.26447075935905,0.0235451762223971,0.999900305837466
"ENSG00000237094.11",30.4073276868075,1.27654740705684,4.37994446861684,0.291452874848883,0.770704980516613,0.999900305837466
"ENSG00000230021.8",5.29781503630744,0.181918800631605,5.55612439081027,0.032742031645745,0.973880305439566,0.999900305837466
"ENSG00000225972.1",3321.12046512899,-30,15.6511050651977,-1.91679755998245,0.05526365506811,0.999900305837466
"ENSG00000225630.1",17193.3254835825,-3.13539302951173,5.0898023909696,-0.616014687539655,0.537884826100102,0.999900305837466
"ENSG00000237973.1",6724.07132664757,-22.9820539049536,10.833190946833,-2.1214482434349,0.0338840990628569,0.999900305837466
"ENSG00000229344.1",407.247919744159,-10.2981982464053,7.69305363509739,-1.33863596107308,0.180689213167822,0.999900305837466
"ENSG00000240409.1",64.4374436541817,5.97501004160225,6.44773737190702,0.92668322187494,0.354091031321623,0.999900305837466
"ENSG00000248527.1",48263.8755103499,-2.96880721043614,4.59620432381193,-0.645925855614252,0.518327374035555,0.999900305837466
"ENSG00000198744.5",360.363076689634,-7.8536955982375,5.97271554992164,-1.31492878450248,0.188533837753948,0.999900305837466
"ENSG00000229376.3",13.1869452570037,4.69444371905791,4.2957984850721,1.09279886739825,0.274482119031025,0.999900305837466
"ENSG00000228327.3",569.469701348935,1.24468606279687,2.70544999561167,0.46006618670306,0.64546871369368,0.999900305837466
"ENSG00000237491.8",152.110668570258,-0.222977486578215,2.51948940720364,-0.0885010613423041,0.929478440821466,0.999900305837466
"ENSG00000230092.7",22.9219044502943,0.107805161037361,3.30926381055681,0.0325767805798541,0.974012086413583,0.999900305837466
"ENSG00000177757.2",37.3468307267445,0.250850438867997,3.96632481620174,0.0632450569462483,0.949571366315885,0.999900305837466
"ENSG00000228794.8",1197.47619930185,-0.851048255617108,1.53359690770021,-0.554936079581266,0.578938382502898,0.999900305837466
"ENSG00000225880.5",251.50163301556,-0.049516651353116,3.03062479156258,-0.0163387600771211,0.986964135592756,0.999900305837466
"ENSG00000230368.2",2.88113566618877,0.6020206799939,7.82388464770257,0.0769465178874639,0.938666091293102,0.999900305837466
"ENSG00000272438.1",6.11165397326885,5.23736607161082,7.41835685106799,0.706000826969765,0.480187623176387,0.999900305837466
"ENSG00000230699.2",32.8138805298031,5.69134400150534,5.58158571027369,1.01966435649812,0.307887671591914,0.999900305837466
"ENSG00000223764.2",196.705226981241,2.85320921346348,5.6664295109366,0.503528581438557,0.614592690721057,0.999900305837466
"ENSG00000187634.11",526.452701879893,3.20800498291731,5.58101040527712,0.574807203348695,0.565421694508283,0.999900305837466
"ENSG00000188976.10",3685.98055198,0.442551338844075,1.06079622796631,0.417187888848838,0.676540983097942,0.999900305837466
"ENSG00000187961.13",1078.08936384928,1.92672618834579,2.3503955603442,0.819745501928891,0.412361204716485,0.999900305837466
"ENSG00000187583.10",116.616726332187,2.16301336615962,4.99903957175552,0.432685785961889,0.665243057499731,0.999900305837466
"ENSG00000187642.9",53.755496807116,39.3347945668467,5.80395285352562,6.77724226222009,1.22491398080957e-11,8.52846359138665e-08
"ENSG00000272512.1",198.006255010428,-4.09902397413269,4.95740974710661,-0.826847927292086,0.408323261101493,0.999900305837466
"ENSG00000188290.10",574.696313809141,-0.276348272183565,3.89959544064776,-0.0708658824715574,0.94350449692558,0.999900305837466
"ENSG00000187608.8",916.916210194914,-5.25632943425962,5.12944492729712,-1.02473649854144,0.305487536412326,0.999900305837466
"ENSG00000224969.1",6.54541223342459,-4.18690588643613,7.87098734550578,-0.531941636118472,0.594766418927444,0.999900305837466
"ENSG00000188157.14",14922.4065674644,-2.38925151258384,1.86958975180244,-1.27795496861298,0.201265304595832,0.999900305837466
"ENSG00000217801.9",130.836369614447,2.29963835557377,3.46840473380965,0.663024800178922,0.507314670800249,0.999900305837466
"ENSG00000273443.1",3.77115322489508,-18.6070341376376,10.8561377468378,-1.71396444772061,0.0865352554653762,0.999900305837466
"ENSG00000237330.2",4.31754370696275,-3.79158526533986,7.71785930015001,-0.491274214504813,0.62323251479545,0.999900305837466
"ENSG00000131591.17",1374.02267510355,-0.739000698011966,2.251323104347,-0.328251727433107,0.74272133969723,0.999900305837466
"ENSG00000223823.1",4.36802883940186,-22.619922534144,11.9525922491845,-1.89247002345348,0.0584283839777722,0.999900305837466
"ENSG00000272141.1",390.335101037714,3.37275279564429,3.29735411721199,1.02286641827116,0.306371009274902,0.999900305837466
"ENSG00000205231.1",10.4470047190107,5.88158333736751,4.54971502767402,1.29273664429361,0.196102159301205,0.999900305837466
"ENSG00000162571.13",36.4589775563985,3.99172973994731,3.41969483538275,1.16727659399484,0.243098687776196,0.999900305837466
"ENSG00000186891.13",97.2578082087973,5.26537391010614,8.09189947198447,0.650696901059604,0.51524216403133,0.999900305837466
"ENSG00000186827.10",307.626911944825,9.20251661052579,4.27706611912261,2.15159559245102,0.0314292195784291,0.999900305837466
"ENSG00000078808.16",8471.27517406593,0.777739860809427,1.32053717386999,0.588957188179846,0.555889993070233,0.999900305837466
"ENSG00000176022.4",1074.30814873718,-0.249051565007263,2.2498213385304,-0.110698374462901,0.911855535049363,0.999900305837466
"ENSG00000184163.3",64.6244629040794,-1.83520121626919,3.36950429820062,-0.544650207821141,0.58599411637174,0.999900305837466
"ENSG00000260179.1",30.7029314532108,1.57957118787827,4.15959687300759,0.379741411512352,0.704137376821502,0.999900305837466
"ENSG00000160087.20",2710.55404430676,-0.811132919635072,1.49170474597218,-0.54376237779309,0.586605001352848,0.999900305837466
"ENSG00000230415.1",73.3204158498041,2.71978973270696,2.93431876787874,0.926889662595567,0.3539838249808,0.999900305837466
"ENSG00000162572.20",911.953551840833,0.94460096489643,3.23167711089322,0.292294351348531,0.770061577306651,0.999900305837466
"ENSG00000131584.18",4737.78832873957,0.0093583331744928,1.87044713617488,0.00500325991229608,0.996007992817362,0.999900305837466
"ENSG00000169972.11",442.490686967511,1.41249313471019,1.458431013857,0.968501849789028,0.332793795629251,0.999900305837466
"ENSG00000127054.20",8793.31559763631,0.550523237349766,1.38706620572356,0.39689759225486,0.691442979798497,0.999900305837466
"ENSG00000240731.1",323.64192124221,3.01226091258337,1.73510708325787,1.73606628757891,0.0825521144590283,0.999900305837466
"ENSG00000224051.6",1548.20129454299,-3.15551304083786,1.91070990223016,-1.65148724940127,0.0986391222099279,0.999900305837466
"ENSG00000169962.4",150.040024346246,4.97345593027961,5.02146505344833,0.990439219897439,0.321959483486962,0.999900305837466
"ENSG00000107404.19",5673.49156125822,-0.41233920227843,1.32659552104636,-0.310825112656188,0.755933577512556,0.999900305837466
"ENSG00000162576.16",9165.67262170863,2.22081565008191,2.38302848942714,0.931929962203587,0.351372722000592,0.999900305837466
"ENSG00000175756.13",3525.31491917101,-1.10681367462673,1.75350121350042,-0.631202115005815,0.527908379246461,0.999900305837466
"ENSG00000223663.2",3.71879573240342,1.47541474268381,5.83959061569727,0.25265722201789,0.800533107382257,0.999900305837466
"ENSG00000221978.11",28419.9700749993,0.268652494815208,2.00606073568496,0.13392041927558,0.893465503484145,0.999900305837466
"ENSG00000224870.6",1086.207638361,0.537923162799842,1.48531026200881,0.362162153294712,0.717230859844197,0.999900305837466
"ENSG00000242485.5",2816.88509241802,-1.07719509803255,1.54985194071183,-0.695030970208552,0.487035893059709,0.999900305837466
"ENSG00000272455.1",349.970060980648,0.70514089564022,3.31820985938099,0.212506419281077,0.831711970285914,0.999900305837466
"ENSG00000235098.8",341.340951718081,0.645616814297353,3.9101542191306,0.165112877425306,0.868855137406834,0.999900305837466
"ENSG00000225905.1",4.18275696327883,0.24052224523569,6.12862796926418,0.0392456919300598,0.968694504784782,0.999900305837466
"ENSG00000225285.1",29.6609397686867,1.47207941883894,4.07288744407683,0.361433857196268,0.717775141805601,0.999900305837466
"ENSG00000179403.11",6294.27480528409,-0.895075438265151,3.66250902953887,-0.244388595644731,0.806929873407642,0.999900305837466
"ENSG00000215915.9",725.372106053999,-2.31796937659681,2.99477090530754,-0.774005575013683,0.438927494420735,0.999900305837466
"ENSG00000160072.19",2213.37750572376,1.40216630029843,1.7963109853863,0.780581041760369,0.435048945654752,0.999900305837466
"ENSG00000197785.13",1350.50487873172,0.0534083699831984,1.88167299489347,0.0283834492646382,0.977356324457268,0.999900305837466
"ENSG00000205090.8",177.347827818662,0.982135851325649,2.78937934674593,0.352098344913682,0.724764509586378,0.999900305837466
"ENSG00000160075.11",7978.89481090076,-1.31067500031659,1.14904841952098,-1.14066124460011,0.254010920149733,0.999900305837466
"ENSG00000215014.4",67.954660564783,5.45884626197381,2.47381915798891,2.20664725808477,0.0273387126251916,0.999900305837466
"ENSG00000228594.3",465.966063129524,1.43547081349785,4.54288728788783,0.315982044574402,0.752016136805502,0.999900305837466
"ENSG00000272106.1",1430.7438003517,0.677215629035961,1.61022067497282,0.420573179540991,0.674066781933936,0.999900305837466
"ENSG00000197530.12",5984.50983132953,0.551799624761475,2.17075233018462,0.254197412154589,0.799343049761765,0.999900305837466
"ENSG00000189409.13",31.7505249232979,0.87174331402734,5.56136168507345,0.156749976605024,0.875441898250152,0.999900305837466
"ENSG00000248333.8",2695.51850745738,-0.133945340608917,1.01711012074957,-0.131692073332437,0.895227855474899,0.999900305837466
"ENSG00000189339.11",5464.62874106236,-0.108818787652797,2.29483823712892,-0.0474189360679907,0.962179337195723,0.999900305837466
"ENSG00000269737.2",212.611740252548,2.44359946343035,3.66626697707784,0.666508870932796,0.505085895461272,0.999900305837466
"ENSG00000215914.4",20.3342833284858,-5.12798550304125,5.21379192028171,-0.983542416238999,0.325340550097677,0.999900305837466
"ENSG00000008128.22",2350.00778764566,0.756451454268369,2.3115480664111,0.327248853381116,0.743479673523165,0.999900305837466
"ENSG00000227775.3",722.089904298868,3.68906549649291,2.44952023921516,1.50603593203007,0.132057949816097,0.999900305837466
