"","x"
"1","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"2","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"3","REACTOME_STRIATED_MUSCLE_CONTRACTION"
