"","x"
"1","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"2","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL"
"3","REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS"
"4","REACTOME_FCERI_MEDIATED_CA_2_MOBILIZATION"
"5","REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION"
"6","REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION"
"7","REACTOME_FCGR_ACTIVATION"
"8","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL"
"9","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"10","REACTOME_PD_1_SIGNALING"
"11","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"12","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"13","REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA"
"14","REACTOME_STRIATED_MUSCLE_CONTRACTION"
