"","x"
"1","REACTOME_CHROMATIN_MODIFYING_ENZYMES"
"2","REACTOME_FCGR_ACTIVATION"
"3","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"4","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"5","REACTOME_STRIATED_MUSCLE_CONTRACTION"
