"","x"
"1","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3"
"2","REACTOME_CD22_MEDIATED_BCR_REGULATION"
"3","REACTOME_FCGR_ACTIVATION"
"4","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"5","REACTOME_ROLE_OF_LAT2_NTAL_LAB_ON_CALCIUM_MOBILIZATION"
"6","REACTOME_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS"
"7","REACTOME_STRIATED_MUSCLE_CONTRACTION"
