"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_INFECTIOUS_DISEASE"
"3","REACTOME_VESICLE_MEDIATED_TRANSPORT"
"4","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"5","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"6","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"7","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"8","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"9","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"10","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"11","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"12","REACTOME_SIGNALING_BY_GPCR"
"13","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"14","REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"
"15","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"16","REACTOME_LEISHMANIA_INFECTION"
"17","REACTOME_METABOLISM_OF_LIPIDS"
"18","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"19","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"
"20","REACTOME_HEMOSTASIS"
"21","REACTOME_BIOLOGICAL_OXIDATIONS"
"22","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"23","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"24","REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS"
"25","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"26","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"27","REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL"
"28","REACTOME_EPH_EPHRIN_SIGNALING"
"29","REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR"
"30","REACTOME_INNATE_IMMUNE_SYSTEM"
"31","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"32","REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING"
"33","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"34","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"35","REACTOME_TCR_SIGNALING"
"36","REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES"
"37","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"38","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"39","REACTOME_INTERLEUKIN_10_SIGNALING"
"40","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
