"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT"
"3","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"4","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"5","REACTOME_SIGNALING_BY_GPCR"
"6","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"7","REACTOME_MEMBRANE_TRAFFICKING"
"8","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"9","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"10","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"11","REACTOME_PROGRAMMED_CELL_DEATH"
"12","REACTOME_INNATE_IMMUNE_SYSTEM"
"13","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"14","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"15","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"16","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"17","REACTOME_AUTOPHAGY"
"18","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"19","REACTOME_TRANSLATION"
"20","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"21","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"22","REACTOME_HIV_INFECTION"
"23","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"24","REACTOME_METABOLISM_OF_LIPIDS"
"25","REACTOME_BIOLOGICAL_OXIDATIONS"
"26","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"27","REACTOME_DEGRADATION_OF_BETA_CATENIN_BY_THE_DESTRUCTION_COMPLEX"
"28","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"29","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"30","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"31","REACTOME_NEUTROPHIL_DEGRANULATION"
"32","REACTOME_PROTEIN_LOCALIZATION"
"33","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"34","REACTOME_INTERLEUKIN_1_SIGNALING"
"35","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"36","REACTOME_EPH_EPHRIN_SIGNALING"
"37","REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING"
"38","REACTOME_CRISTAE_FORMATION"
"39","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"40","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"41","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"42","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"43","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
