"","x"
"1","REACTOME_STRIATED_MUSCLE_CONTRACTION"
"2","REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"
"3","REACTOME_INFECTIOUS_DISEASE"
"4","REACTOME_ADAPTIVE_IMMUNE_SYSTEM"
"5","REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3"
"6","REACTOME_SIGNALING_BY_GPCR"
"7","REACTOME_HEMOSTASIS"
"8","REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"
"9","REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53"
"10","REACTOME_METABOLISM_OF_CARBOHYDRATES"
"11","REACTOME_CELLULAR_RESPONSES_TO_STIMULI"
"12","REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"
"13","REACTOME_MEMBRANE_TRAFFICKING"
"14","REACTOME_PROGRAMMED_CELL_DEATH"
"15","REACTOME_TRANSLATION"
"16","REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"
"17","REACTOME_TRANSPORT_OF_SMALL_MOLECULES"
"18","REACTOME_TRANSPORT_TO_THE_GOLGI_AND_SUBSEQUENT_MODIFICATION"
"19","REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"
"20","REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"
"21","REACTOME_HIV_INFECTION"
"22","REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE"
"23","REACTOME_METABOLISM_OF_LIPIDS"
"24","REACTOME_INNATE_IMMUNE_SYSTEM"
"25","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS"
"26","REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS"
"27","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"
"28","REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING"
"29","REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE"
"30","REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"
"31","REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS"
"32","REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING"
"33","REACTOME_PROTEIN_LOCALIZATION"
"34","REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS"
"35","REACTOME_RHOQ_GTPASE_CYCLE"
"36","REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS"
"37","REACTOME_SIGNALING_BY_INTERLEUKINS"
"38","REACTOME_NEUTROPHIL_DEGRANULATION"
"39","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS"
"40","REACTOME_EPH_EPHRIN_SIGNALING"
"41","REACTOME_INTERLEUKIN_1_SIGNALING"
"42","REACTOME_CRISTAE_FORMATION"
"43","REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION"
"44","REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"
"45","REACTOME_CLEC7A_DECTIN_1_SIGNALING"
"46","REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT"
"47","REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT"
